contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY250211C00400000,SPY,2025-02-11,400.00,call,204.35,205.19,204.57,60,205.80,60,7,6,2025-02-11,2.72193,1.00000,0.00000,-0.04745,0.00000,0.01096
SPY250211P00400000,SPY,2025-02-11,400.00,put,0.00,0.01,0.00,0,0.01,528,0,0,2025-02-11,2.44310,-0.00048,0.00002,-0.06565,0.00054,-0.00001
SPY250211C00405000,SPY,2025-02-11,405.00,call,199.05,200.19,199.57,60,200.80,60,0,0,2025-02-11,2.65564,1.00000,0.00000,-0.04804,0.00000,0.01109
SPY250211P00405000,SPY,2025-02-11,405.00,put,0.01,0.01,0.00,0,0.01,528,1,1,2025-02-11,2.37420,-0.00049,0.00002,-0.06544,0.00055,-0.00001
SPY250211C00410000,SPY,2025-02-11,410.00,call,0.00,195.19,194.57,60,195.80,60,0,0,2025-02-11,2.58936,1.00000,0.00000,-0.04863,0.00000,0.01123
SPY250211P00410000,SPY,2025-02-11,410.00,put,0.00,0.01,0.00,0,0.01,528,0,4,2025-02-11,2.30606,-0.00050,0.00002,-0.06523,0.00057,-0.00001
SPY250211C00415000,SPY,2025-02-11,415.00,call,0.00,190.18,189.57,60,190.78,10,0,0,2025-02-11,2.52307,1.00000,0.00000,-0.04923,0.00000,0.01137
SPY250211P00415000,SPY,2025-02-11,415.00,put,0.00,0.01,0.00,0,0.01,528,0,2,2025-02-11,2.23868,-0.00052,0.00003,-0.06502,0.00058,-0.00001
SPY250211C00420000,SPY,2025-02-11,420.00,call,0.00,185.19,184.57,60,185.80,60,0,0,2025-02-11,2.45678,1.00000,0.00000,-0.04982,0.00000,0.01151
SPY250211P00420000,SPY,2025-02-11,420.00,put,0.00,0.01,0.00,0,0.01,528,0,0,2025-02-11,2.17207,-0.00053,0.00003,-0.06481,0.00060,-0.00001
SPY250211C00425000,SPY,2025-02-11,425.00,call,0.00,180.19,179.57,60,180.80,60,0,0,2025-02-11,2.39049,1.00000,0.00000,-0.05041,0.00000,0.01164
SPY250211P00425000,SPY,2025-02-11,425.00,put,0.00,0.01,0.00,0,0.01,528,0,25,2025-02-11,2.10606,-0.00055,0.00003,-0.06457,0.00061,-0.00001
SPY250211C00430000,SPY,2025-02-11,430.00,call,0.00,175.19,174.57,150,175.80,60,0,0,2025-02-11,2.32420,1.00000,0.00000,-0.05100,0.00000,0.01178
SPY250211P00430000,SPY,2025-02-11,430.00,put,0.00,0.01,0.00,0,0.01,528,0,1,2025-02-11,2.04082,-0.00057,0.00003,-0.06435,0.00063,-0.00001
SPY250211C00435000,SPY,2025-02-11,435.00,call,163.09,170.19,169.57,60,170.80,60,0,3,2025-02-11,2.25791,1.00000,0.00000,-0.05160,0.00000,0.01192
SPY250211P00435000,SPY,2025-02-11,435.00,put,0.00,0.01,0.00,0,0.01,528,0,1014,2025-02-11,1.97634,-0.00058,0.00003,-0.06416,0.00065,-0.00001
SPY250211C00440000,SPY,2025-02-11,440.00,call,0.00,165.18,164.57,60,165.78,10,0,0,2025-02-11,2.19163,1.00000,0.00000,-0.05219,0.00000,0.01205
SPY250211P00440000,SPY,2025-02-11,440.00,put,0.00,0.01,0.00,0,0.01,528,0,2006,2025-02-11,1.91232,-0.00060,0.00003,-0.06389,0.00067,-0.00001
SPY250211C00445000,SPY,2025-02-11,445.00,call,160.13,160.19,159.57,60,160.80,60,0,1,2025-02-11,2.12534,1.00000,0.00000,-0.05278,0.00000,0.01219
SPY250211P00445000,SPY,2025-02-11,445.00,put,0.00,0.01,0.00,0,0.01,528,0,6,2025-02-11,1.84906,-0.00062,0.00004,-0.06367,0.00069,-0.00001
SPY250211C00450000,SPY,2025-02-11,450.00,call,153.68,155.19,154.57,60,155.80,60,1,1,2025-02-11,2.05905,1.00000,0.00000,-0.05338,0.00000,0.01233
SPY250211P00450000,SPY,2025-02-11,450.00,put,0.00,0.01,0.00,0,0.01,528,0,576,2025-02-11,1.78625,-0.00064,0.00004,-0.06339,0.00071,-0.00001
SPY250211C00455000,SPY,2025-02-11,455.00,call,148.39,150.18,149.57,60,150.78,1,2,2,2025-02-11,1.99276,1.00000,0.00000,-0.05397,0.00000,0.01246
SPY250211P00455000,SPY,2025-02-11,455.00,put,0.00,0.01,0.00,0,0.01,528,0,469,2025-02-11,1.72406,-0.00066,0.00004,-0.06310,0.00073,-0.00001
SPY250211C00460000,SPY,2025-02-11,460.00,call,0.00,145.18,144.57,60,145.78,10,0,0,2025-02-11,1.92647,1.00000,0.00000,-0.05456,0.00000,0.01260
SPY250211P00460000,SPY,2025-02-11,460.00,put,0.00,0.01,0.00,0,0.01,528,0,190,2025-02-11,1.66247,-0.00069,0.00005,-0.06283,0.00076,-0.00001
SPY250211C00465000,SPY,2025-02-11,465.00,call,0.00,140.19,139.57,60,140.80,60,0,0,2025-02-11,1.86018,1.00000,0.00000,-0.05516,0.00000,0.01274
SPY250211P00465000,SPY,2025-02-11,465.00,put,0.00,0.01,0.00,0,0.01,528,0,21,2025-02-11,1.60150,-0.00071,0.00005,-0.06257,0.00078,-0.00001
